Area,Animus
"Abilene-Sweetwater, TX",48.60857391
Alaska,0
"Albany-Schenectady-Troy, NY",78.5838089
"Albany, GA",69.70581818
"Albuquerque-Santa Fe, NM",45.66561508
"Alexandria, LA",89.32323456
"Alpena, MI",NA
"Amarillo, TX",73.54094696
"Anchorage, AK",NA
"Atlanta, GA",62.15132141
"Augusta, GA",78.90776062
"Austin, TX",52.54042435
"Bakersfield, CA",57.51924896
"Baltimore, MD",57.2762146
"Bangor, ME",49.02645111
"Baton Rouge, LA",70.86852264
"Beaumont-Port Arthur, TX",84.94552612
"Bend, OR",55.92103577
"Billings, MT",44.83808517
"Biloxi-Gulfport, MS",101.4807129
"Binghamton, NY",87.59157562
"Birmingham (Anniston and Tuscaloosa), AL",65.31517029
"Bluefield-Beckley-Oak Hill, WV",154.510849
"Boise, ID",35.77662659
"Boston, MA (Manchester, NH)",51.03105927
"Bowling Green, KY",89.28741455
"Buffalo, NY",76.01532745
"Burlington, VT-Plattsburgh, NY",51.07416916
"Butte-Bozeman, MT",43.81502151
"Casper-Riverton, WY",NA
"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",44.14102936
"Champaign & Springfield-Decatur, IL",44.89656448
"Charleston-Huntington, WV",87.97550201
"Charleston, SC",55.97541428
"Charlotte, NC",72.99562073
"Charlottesville, VA",65.57444763
"Chattanooga, TN",70.58526611
"Cheyenne, WY-Scottsbluff, NE",42.79910278
"Chicago, IL",62.97050858
"Chico-Redding, CA",58.49577713
"Cincinnati, OH",71.83718109
"Clarksburg-Weston, WV",98.93463898
"Cleveland-Akron (Canton), OH",83.96348572
"Colorado Springs-Pueblo, CO",34.29621887
"Columbia-Jefferson City, MO",52.41437912
"Columbia, SC",68.04155731
"Columbus-Tupelo-West Point, MS",100.2941666
"Columbus, GA",56.97118378
"Columbus, OH",75.68852997
"Corpus Christi, TX",56.3455925
"Dallas-Ft. Worth, TX",50.61455536
"Davenport, IA-Rock Island-Moline, IL",52.56917953
"Dayton, OH",55.77455139
"Denver, CO",32.79961395
"Des Moines-Ames, IA",42.2479744
"Detroit, MI",68.44391632
"Dothan, AL",73.77583313
"Duluth, MN-Superior, WI",64.75345612
"El Paso, TX",39.3613205
"Elmira, NY",76.18852997
"Erie, PA",72.0394516
"Eugene, OR",45.78463364
"Eureka, CA",45.60051727
"Evansville, IN",67.36745453
"Fairbanks, AK",NA
"Fargo-Valley City, ND",43.0642662
"Flint-Saginaw-Bay City, MI",85.86602783
"Fresno-Visalia, CA",101.4178162
"Ft. Myers-Naples, FL",50.19551468
"Ft. Smith-Fayetteville-Springdale-Rogers, AR",67.95734406
"Ft. Wayne, IN",63.10918045
"Gainesville, FL",53.01511002
"Glendive, MT",NA
"Grand Junction-Montrose, CO",58.25629425
"Grand Rapids-Kalamazoo-Battle Creek, MI",59.49357605
"Great Falls, MT",NA
"Green Bay-Appleton, WI",59.9955368
"Greensboro-High Point-Winston Salem, NC",67.90854645
"Greenville-New Bern-Washington, NC",72.37508392
"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC",71.65180969
"Greenwood-Greenville, MS",NA
"Harlingen-Weslaco-Brownsville-McAllen, TX",42.44250488
"Harrisburg-Lancaster-Lebanon-York, PA",54.8739624
"Harrisonburg, VA",50.97760391
"Hartford & New Haven, CT",63.83945847
"Hattiesburg-Laurel, MS",108.9885025
"Helena, MT",60.09273911
"Honolulu, HI",30.10417747
"Houston, TX",51.25508881
"Huntsville-Decatur (Florence), AL",65.30715179
"Idaho Falls-Pocatello, ID",42.82539749
"Indianapolis, IN",59.91072083
"Jackson, MS",71.37637329
"Jackson, TN",97.71746826
"Jacksonville, FL",59.14984512
"Johnstown-Altoona, PA",101.745163
"Jonesboro, AR",73.51615143
